Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;Abonnement SDA;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;38,0;34,58;6,9159999999999995;41,495999999999995
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;Canaux contrat Pro Numéris accès groupé;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;108,0;21,6;129,6
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;accès aux services à valeur ajoutée;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;5282,0;0,0;0,0;3,95;0,79;4,74
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;compléments de services;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;19,0;0,0;0,0;0,0;0,0;0,0
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;fixes France métropolitaine;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;8985,0;0,0;0,0;6,76;1,3519999999999999;8,112
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;mobiles France métropolitaine (Bouygues);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;289,0;0,0;0,0;0,43;0,086;0,516
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;mobiles France métropolitaine (Free);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1192,0;0,0;0,0;1,78;0,35600000000000004;2,136
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;mobiles France métropolitaine (Orange);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;5988,0;0,0;0,0;8,97;1,794;10,764000000000001
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;mobiles France métropolitaine (SFR);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;976,0;0,0;0,0;1,46;0,292;1,752
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise abonnement SDA 45%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;38,0;-15,56;-3,112;-18,672
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise communications fixes métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,16;-0,032;-0,192
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise communications mobiles métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,24;-0,048;-0,288
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 3,89% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,03;-0,606;-3,6359999999999997
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 5% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,54;-0,708;-4,248
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 5,26% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,93;-0,786;-4,716
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 7,407% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-4,98;-0,9960000000000001;-5,976
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur accès de base 28%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-30,24;-6,047999999999999;-36,288
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur communications fixes métropole 78%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-8,35;-1,67;-10,02
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur communications mobiles métropole 72%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-9,12;-1,8239999999999998;-10,943999999999999
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;service et appel gratuits;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;134,0;0,0;0,0;0,0;0,0;0,0
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;Canaux contrat Pro Numéris accès groupé;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;108,0;21,6;129,6
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;accès aux services à valeur ajoutée;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;9818,0;0,0;0,0;7,35;1,47;8,819999999999999
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;compléments de services;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;30,0;0,0;0,0;0,0;0,0;0,0
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;fixes France métropolitaine;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;29628,0;0,0;0,0;22,22;4,444;26,663999999999998
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Bouygues);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1282,0;0,0;0,0;1,91;0,38199999999999995;2,292
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Free);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;859,0;0,0;0,0;1,3;0,26;1,56
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Orange);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;13175,0;0,0;0,0;19,75;3,95;23,7
